"province","city","town","temperature","relative_humidity","rainfall","wind_direction","wind_strong","day","hour","year","month","days"
"上海","上海","嘉定",11,96,0,92,2,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",11,96,0,81,2,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",8,94,0,103,0,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",8,95,0,79,1,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",10,97,0,76,2,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",8,95,0,92,0,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",8,95,0,99,0,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",9,93,0,96,1,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",12,91,0,70,3,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",13,81,0,92,1,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",15,72,0,106,2,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",18,66,0,136,4,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",16,60,0,117,3,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",19,61,0,176,3,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",17,58,0,143,2,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",16,61,0,133,0,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",18,63,0,181,2,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",15,65,0,135,0,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",17,70,0,114,3,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",15,71,0,142,1,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",17,73,0,159,4,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",14,74,0,149,2,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",16,77,0,166,3,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",16,77,0,166,3,2015-12-01,"01",2015,12,"01"
"上海","上海","嘉定",14,79,0,158,0,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",14,81,0,157,0,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",14,81,0,174,0,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",16,84,0,211,2,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",14,83,0,277,0,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",13,84,0,294,0,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",15,86,0,338,0,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",14,93,1,305,5,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",12,90,0,340,2,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",12,89,0,350,2,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",13,81,0,346,4,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",13,75,0,342,5,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",13,73,0,305,7,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",12,69,0,293,3,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",11,70,0,302,6,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",11,69,0,317,2,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",13,66,0,307,5,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",10,61,0,323,3,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",12,68,0,302,4,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",11,69,0,297,4,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",9,56,0,337,2,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",9,49,0,303,1,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",10,50,0,296,3,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",10,50,0,296,3,2015-12-02,"01",2015,12,"02"
"上海","上海","嘉定",7,45,0,306,3,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",6,49,0,297,1,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",8,47,0,341,2,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",7,50,0,306,2,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",4,59,0,250,0,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",4,75,0,248,2,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",3,66,0,215,0,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",4,62,0,254,1,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",7,64,0,269,3,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",10,57,0,271,4,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",11,41,0,285,5,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",10,30,0,280,7,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",12,30,0,317,9,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",13,25,0,305,9,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",11,22,0,295,7,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",13,21,0,304,9,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",10,22,0,313,5,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",9,23,0,302,3,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",8,30,0,359,1,2015-12-03,"01",2015,12,"03"
"上海","上海","嘉定",7,35,0,333,0,2015-12-03,"01",2015,12,"03"
